Accession	Organism_Name	GenBank_RefSeq	Assembly	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date
ON768601.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/737	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-08-21
ON768602.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/739	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-08-21
ON768603.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/740	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-08-22
ON768604.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/742	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-08-25
ON768605.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/743	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-08-25
ON768606.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/749	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-08-31
ON768607.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/753	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-04
ON768608.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/757	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-04
ON768609.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/761	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-07
ON768610.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/762	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-07
ON768611.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/763	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-08
ON768612.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/766	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-13
ON768613.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/771	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-18
ON768614.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/773	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-25
ON768615.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/774	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-25
ON768616.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/775	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-09-26
MZ516338.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Busan0357/2019	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516339.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Chungbuk0380/2020	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516340.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Chungnam0137/2020	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516341.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Chungnam0409/2019	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516342.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Deajeon0352/2019	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516343.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Gwangju0503/2020	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516344.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Gyeongbuk0202/2020	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516345.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Gyeongnam0265/2020	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516346.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Gyeongnam0471/2019	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516347.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Incheon0486/2019	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516348.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Incheon0559/2019	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516349.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Jeju0393/2019	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516350.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Jeonnam0636/2019	Rhinovirus C	363	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516356.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Busan0357/2019	Rhinovirus C	253	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516357.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Chungbuk0380/2020	Rhinovirus C	255	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516358.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Chungnam0137/2020	Rhinovirus C	253	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516359.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Chungnam0409/2019	Rhinovirus C	252	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516360.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Deajeon0352/2019	Rhinovirus C	252	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516361.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Gwangju0503/2020	Rhinovirus C	253	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516362.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Gyeongbuk0202/2020	Rhinovirus C	253	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516363.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Gyeongnam0265/2020	Rhinovirus C	255	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2020
MZ516364.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Gyeongnam0471/2019	Rhinovirus C	252	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516365.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Incheon0486/2019	Rhinovirus C	252	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516366.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Incheon0559/2019	Rhinovirus C	251	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516367.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Jeju0393/2019	Rhinovirus C	252	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
MZ516368.1	Rhinovirus C	GenBank		Kim,H.M., Lee,E.J., Lee,N.-J., Woo,S., Kim,J.-M., Rhee,J., Kim,E.-J.	Korea Disease Control and Prevention Agency, Division of Emerging Infectious Diseases		2022-10-17	C/Jeonnam0636/2019	Rhinovirus C	254	partial	South Korea	South Korea		Homo sapiens	oronasopharynx	2019
ON989186.1	Rhinovirus C	GenBank		Faleye,T.O.C., Elyaderani,A., Skidmore,P., Adhikari,S., Smith,A., Kaiser,N., Sandrolini,H., Finnerty,S., Halden,R.U., Varsani,A., Scotch,M.	Arizona State University, Center for Environmental Health Engineering	USA	2022-10-08		Rhinovirus C	5725	partial	USA	USA		Homo sapiens		2020
ON989188.1	Rhinovirus C	GenBank		Faleye,T.O.C., Elyaderani,A., Skidmore,P., Adhikari,S., Smith,A., Kaiser,N., Sandrolini,H., Finnerty,S., Halden,R.U., Varsani,A., Scotch,M.	Arizona State University, Center for Environmental Health Engineering	USA	2022-10-08		Rhinovirus C	4768	partial	USA	USA		Homo sapiens		2021
ON989190.1	Rhinovirus C	GenBank		Faleye,T.O.C., Elyaderani,A., Skidmore,P., Adhikari,S., Smith,A., Kaiser,N., Sandrolini,H., Finnerty,S., Halden,R.U., Varsani,A., Scotch,M.	Arizona State University, Center for Environmental Health Engineering	USA	2022-10-08		Rhinovirus C	2726	partial	USA	USA		Homo sapiens		2021
ON989191.1	Rhinovirus C	GenBank		Faleye,T.O.C., Elyaderani,A., Skidmore,P., Adhikari,S., Smith,A., Kaiser,N., Sandrolini,H., Finnerty,S., Halden,R.U., Varsani,A., Scotch,M.	Arizona State University, Center for Environmental Health Engineering	USA	2022-10-08		Rhinovirus C	2069	partial	USA	USA		Homo sapiens		2021
ON989195.1	Rhinovirus C	GenBank		Faleye,T.O.C., Elyaderani,A., Skidmore,P., Adhikari,S., Smith,A., Kaiser,N., Sandrolini,H., Finnerty,S., Halden,R.U., Varsani,A., Scotch,M., Halden,R.	Arizona State University, Center for Environmental Health Engineering	USA	2022-10-08		Rhinovirus C	2617	partial	USA	USA		Homo sapiens		2020
ON989196.1	Rhinovirus C	GenBank		Faleye,T.O.C., Elyaderani,A., Skidmore,P., Adhikari,S., Smith,A., Kaiser,N., Sandrolini,H., Finnerty,S., Halden,R.U., Varsani,A., Scotch,M., Halden,R.	Arizona State University, Center for Environmental Health Engineering	USA	2022-10-08		Rhinovirus C	3551	partial	USA	USA		Homo sapiens		2021
MZ129881.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Kakuma/HRV/6491/Jul-14	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2014-07
MZ129882.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/KNH/HRV/6492/Jan-14	Rhinovirus C	380	partial	Kenya	Kenya		Homo sapiens		2014-01
MZ129883.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/KNH/HRV/6493/Sep-14	Rhinovirus C	399	partial	Kenya	Kenya		Homo sapiens		2014-09
MZ129884.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/KNH/HRV/6494/Oct-14	Rhinovirus C	431	partial	Kenya	Kenya		Homo sapiens		2014-10
MZ129885.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/KNH/HRV/6495/Dec-14	Rhinovirus C	431	partial	Kenya	Kenya		Homo sapiens		2014-12
MZ129886.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Nakuru/HRV/6496/Mar-14	Rhinovirus C	427	partial	Kenya	Kenya		Homo sapiens		2014-03
MZ129887.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Kisumu/HRV/6497/Jun-14	Rhinovirus C	431	partial	Kenya	Kenya		Homo sapiens		2014-06
MZ129888.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Mombasa/HRV/6498/Jul-14	Rhinovirus C	429	partial	Kenya	Kenya		Homo sapiens		2014-07
MZ129889.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Siaya/HRV/6499/Jan-14	Rhinovirus C	425	partial	Kenya	Kenya		Homo sapiens		2014-01
MZ129890.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Kisumu/HRV/6500/Feb-14	Rhinovirus C	413	partial	Kenya	Kenya		Homo sapiens		2014-02
MZ129891.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Kisumu/HRV/6501/May-14	Rhinovirus C	370	partial	Kenya	Kenya		Homo sapiens		2014-05
MZ129892.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Kisumu/HRV/6502/May-14	Rhinovirus C	370	partial	Kenya	Kenya		Homo sapiens		2014-05
MZ129893.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Nakuru/HRV/6503/Mar-14	Rhinovirus C	413	partial	Kenya	Kenya		Homo sapiens		2014-03
MZ129894.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Nyeri/HRV/6504/May-14	Rhinovirus C	431	partial	Kenya	Kenya		Homo sapiens		2014-05
MZ129895.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Kibera/HRV/6505/Aug-14	Rhinovirus C	431	partial	Kenya	Kenya		Homo sapiens		2014-08
MZ129896.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Kibera/HRV/6506/Oct-14	Rhinovirus C	400	partial	Kenya	Kenya		Homo sapiens		2014-10
MZ129897.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Kibera/HRV/6507/Nov-14	Rhinovirus C	431	partial	Kenya	Kenya		Homo sapiens		2014-11
MZ129898.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/KNH/HRV/6508/Aug-14	Rhinovirus C	429	partial	Kenya	Kenya		Homo sapiens		2014-08
MZ129899.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/KNH/HRV/6509/Aug-14	Rhinovirus C	429	partial	Kenya	Kenya		Homo sapiens		2014-08
MZ129900.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/KNH/HRV/6510/Oct-14	Rhinovirus C	416	partial	Kenya	Kenya		Homo sapiens		2014-10
MZ129901.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/KNH/HRV/6511/Oct-14	Rhinovirus C	431	partial	Kenya	Kenya		Homo sapiens		2014-10
MZ129902.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Mombasa/HRV/6512/Feb-14	Rhinovirus C	400	partial	Kenya	Kenya		Homo sapiens		2014-02
MZ129903.1	Rhinovirus C	GenBank		Morobe,J.M., Kamau,E., Murunga,N., Lewa,C., Mutunga,M., Agoti,C.N., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-09-17	KEN/Nakuru/HRV/6513/Oct-14	Rhinovirus C	398	partial	Kenya	Kenya		Homo sapiens		2014-10
